2026-07-15 19:19:25,950 | test.py |   [Hunger] Value: -180
2026-07-15 19:19:25,950 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:25,950 | test.py |   [Inventory] Contents:
2026-07-15 19:19:25,950 | test.py |     - Wood: 6
2026-07-15 19:19:25,950 | test.py |     - Stone: 8
2026-07-15 19:19:25,950 | test.py | ====================================================
2026-07-15 19:19:25,950 | job.py | target is 7
2026-07-15 19:19:25,950 | job.py | target is (5, 10)
2026-07-15 19:19:25,950 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:26,553 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:26,553 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:26,553 | test.py |   [Hunger] Value: -200
2026-07-15 19:19:26,553 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:26,553 | test.py |   [Inventory] Contents:
2026-07-15 19:19:26,553 | test.py |     - Wood: 6
2026-07-15 19:19:26,553 | test.py |     - Stone: 8
2026-07-15 19:19:26,553 | test.py | ====================================================
2026-07-15 19:19:26,553 | job.py | target is 7
2026-07-15 19:19:26,553 | job.py | target is (5, 10)
2026-07-15 19:19:26,553 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:27,155 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:27,156 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:27,156 | test.py |   [Hunger] Value: -220
2026-07-15 19:19:27,156 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:27,156 | test.py |   [Inventory] Contents:
2026-07-15 19:19:27,156 | test.py |     - Wood: 6
2026-07-15 19:19:27,156 | test.py |     - Stone: 8
2026-07-15 19:19:27,156 | test.py | ====================================================
2026-07-15 19:19:27,156 | job.py | target is 7
2026-07-15 19:19:27,156 | job.py | target is (5, 10)
2026-07-15 19:19:27,156 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:27,757 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:27,758 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:27,758 | test.py |   [Hunger] Value: -240
2026-07-15 19:19:27,758 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:27,758 | test.py |   [Inventory] Contents:
2026-07-15 19:19:27,758 | test.py |     - Wood: 6
2026-07-15 19:19:27,758 | test.py |     - Stone: 8
2026-07-15 19:19:27,758 | test.py | ====================================================
2026-07-15 19:19:27,758 | job.py | target is 7
2026-07-15 19:19:27,758 | job.py | target is (5, 10)
2026-07-15 19:19:27,758 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:28,359 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:28,359 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:28,359 | test.py |   [Hunger] Value: -260
2026-07-15 19:19:28,359 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:28,359 | test.py |   [Inventory] Contents:
2026-07-15 19:19:28,359 | test.py |     - Wood: 6
2026-07-15 19:19:28,359 | test.py |     - Stone: 8
2026-07-15 19:19:28,359 | test.py | ====================================================
2026-07-15 19:19:28,359 | job.py | target is 7
2026-07-15 19:19:28,359 | job.py | target is (5, 10)
2026-07-15 19:19:28,359 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:28,960 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:28,961 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:28,961 | test.py |   [Hunger] Value: -280
2026-07-15 19:19:28,961 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:28,961 | test.py |   [Inventory] Contents:
2026-07-15 19:19:28,961 | test.py |     - Wood: 6
2026-07-15 19:19:28,961 | test.py |     - Stone: 8
2026-07-15 19:19:28,961 | test.py | ====================================================
2026-07-15 19:19:28,961 | job.py | target is 7
2026-07-15 19:19:28,961 | job.py | target is (5, 10)
2026-07-15 19:19:28,962 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:29,564 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:29,565 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:29,565 | test.py |   [Hunger] Value: -300
2026-07-15 19:19:29,565 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:29,565 | test.py |   [Inventory] Contents:
2026-07-15 19:19:29,565 | test.py |     - Wood: 6
2026-07-15 19:19:29,565 | test.py |     - Stone: 8
2026-07-15 19:19:29,565 | test.py | ====================================================
2026-07-15 19:19:29,565 | job.py | target is 7
2026-07-15 19:19:29,565 | job.py | target is (5, 10)
2026-07-15 19:19:29,565 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:30,167 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:30,167 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:30,167 | test.py |   [Hunger] Value: -320
2026-07-15 19:19:30,167 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:30,167 | test.py |   [Inventory] Contents:
2026-07-15 19:19:30,167 | test.py |     - Wood: 6
2026-07-15 19:19:30,167 | test.py |     - Stone: 8
2026-07-15 19:19:30,167 | test.py | ====================================================
2026-07-15 19:19:30,167 | job.py | target is 7
2026-07-15 19:19:30,167 | job.py | target is (5, 10)
2026-07-15 19:19:30,167 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:30,769 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:30,769 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:30,769 | test.py |   [Hunger] Value: -340
2026-07-15 19:19:30,769 | test.py |   [Job] Idle (No active Job component attached)
